Sentence,User,Answer,Keyword
横浜を、地域や社会のためになる活動をやりたいと思った人が、自由に相談し、仲間を見つけ、支援者とつながり、事業計画を立てて様々な活動に挑戦できると思えるような、そんなオープンかつチャンスを感じられる街にしたい。,TA前川,1,横浜で地域活動を支援する街へ
事業提案者の理念、チーム、スキル、事業の収益可能性、支援後の効果検証およびモニタリング等の各フェーズで用いられる事業評価手法の開発と運用,TA前川,2,事業提案者の評価手法の開発と運用
事業設立数、黒字事業数（含む社会的インパクト）、黒字額（含む社会的インパクト）、KPI達成進捗カーブ,TA前川,3,社会的インパクトを含む事業設立数と黒字事業の状況
皆さんがやりたいこと、やってみたいことを自由に投稿頂き、あれこれ議論できるようなアイデアサンドボックスの構築と運用,TA前川,4,アイデアサンドボックスの構築と運用
市民、企業、行政が一体となり、高度な自治を実現している街,emo,1,市民、企業、行政が一体となり、高度な自治を実現している街
行政と企業の対話によるオープンイノベーションの成功事例の開拓と、キャリア教育の一環としての子どもたちによる地域課題解決への参画促進,emo,2,オープンイノベーションとキャリア教育の連携
行政と企業の共創による事業取り組み数・売上伸び率・行政の生産性向上指数など、小中高生の自己有用感の改善率、横浜出身者の地元企業への就職者数,emo,3,横浜の行政と企業の共創による地域活性化
ケースメソッドによる共創創発ワークショプ、子どもと横浜型地域貢献企業が一緒に参加する共創ダイアログ,emo,4,共創ワークショップとダイアログ
誰もが自分らしさを活かし、自然や人と関わりながら楽しく優しく共生している、コンヴィヴィアルなまち,Yu,1,コンヴィヴィアルなまちの実現
情報発信（市外・海外への発信も含めて）。横浜市内各地で展開されている取り組みの価値を可視化し、伝えていく。それによって出会いが生まれ、その出会いが一人一人の勇気や自信、生きがいにつながり、新たな取り組みの創造につながる。そんなループを作りたい。,Yu,2,横浜市の取り組みを発信し、新たな出会いと創造を促す
記事数、Webサイトへの訪問者数、記事によって感謝された数,Yu,3,記事数、Webサイトへの訪問者数、記事によって感謝された数
「循環経済とケア」をテーマとするイベントや事業,Yu,4,「循環経済とケア」をテーマとするイベントや事業
自然と調和しながら、そこに暮らす人が「生きがい」「やりがい」を感じながら、フォーマルなサービスや制度だけではなく、住民自ら「たすけあい」「ささえあい」「あかちあい」ながら、お金も仕事・エネルギー等が地域の中で循環し持続していく街を夢見ています。,一般社団法人団地暮らしの共創　小柴健一,1,自然と共生する持続可能な街への夢
団地という多種多様な人々が暮らす場で、住民の声を聞き、それを行政や企業と共有しながら、実走できる仕組み作りを行っていきたいと思っています。,一般社団法人団地暮らしの共創　小柴健一,2,多様な住民の声を共有し、実践する仕組み作り
そこに暮らす人々の定量的な幸福度の調査を継続して行いデータ化する。,一般社団法人団地暮らしの共創　小柴健一,3,地域の幸福度調査とデータ化
今、バラバラに動いている様々な取り組みやプロジェクトを点から面に変えていきたいと思います。,一般社団法人団地暮らしの共創　小柴健一,4,取り組みを点から面に変える
活力ある企業活動が優れた雇用環境を市内外の人に提供し、産学官による先進的な取組があふれているまち,きんちゃん,1,活力ある企業活動と先進的な取組を通じた雇用環境の提供
行政と企業（と大学）が活発なオープンイノベーションに取り組める場の提供と投資の蓄積,きんちゃん,2,オープンイノベーションの推進と投資の蓄積
オープンイノベーションの件数と企業の投資額や雇用の実績（報告ベースにはなりますが）,きんちゃん,3,オープンイノベーションの件数と投資額雇用の実績
産学官のオープンイノベーションの場は既にあるので、そこと共創コンソーシアムとの連携の場、さらには実証実験等の場など,きんちゃん,4,オープンイノベーションの場の連携と実証実験の必要性
目の前の課題解決に忙しくするのではなく、先進的なことや創造的なことに人々の時間やお金を割くことができる能動的な街,Circular Yokohama（ハーチ株式会社）,1,能動的な街の創造と先進性
20代という立場から、自分の持っている価値観や希望、理想を積極的に発信する。,Circular Yokohama（ハーチ株式会社）,2,20代の価値観と理想を発信する
市民意識調査（未来に対する希望・不安を問う設問の回答）、選挙の投票率、人口増加数、市内の世帯構成割合,Circular Yokohama（ハーチ株式会社）,3,市民の意識と行動に関する調査データ
良き新らしきものが良き古きものから自然に成長してくるような状況,藤原徹平,1,自然な成長による良き新旧の交代
良き新しきもの、良き古きものを探す遊歩者、それらを繋ぐ篩(ふるい)としての役割,藤原徹平,2,遊歩者の役割：新旧の良きものを繋ぐ篩
創造的な勉強会の数、創造的なまちあるきの実施回数、継続的な対話の場の質と数,藤原徹平,3,創造的な勉強会やまちあるきの実施と対話の質
いろんな局の守備範囲をまたいだ継続的な勉強会。具体的なフィールドをみなで観て考える会。市役所低層部が社会改革の大学院大学のようになる未来が理想。,藤原徹平,4,異局の連携で市役所を大学院化
100年後の未来を見据え、子供達の礎となる利他の精神と農福スポーツ連携したまち。平時でも災害時でもQOLを維持できるフェーズフリーなまち。,NPO法人KUSC・神奈川大学サッカー部藤森,1,未来を見据えた利他のまち
新しい事業を創出し、それを見える化しながら認知拡大、資金調達、事業支援を持続的に実施する。（情報発信、事例提供、企業に対する公民連携やリビングラボへの認知拡大および教育等）,NPO法人KUSC・神奈川大学サッカー部藤森,2,新事業創出の支援と認知拡大
コンソーシアムの事業として、竹山団地やすすきの団地で生まれた事業が基軸となり、他の地域で事業支援が出来ている状態。（SNSでのいいねの数、イベント来客者数、問い合わせ数、寄付獲得金額、寄付者数、人口増加数等、耕作放棄面積等）,NPO法人KUSC・神奈川大学サッカー部藤森,3,コンソーシアムの事業で地域活性化
