ID,title,outline,collecting_cost,sharing_policy,type,variable,analysis,outcome,anticipation,comments,wanted
6805,投稿論文の査読割り当て,国際会議投稿論文の査読割り当て,,共有不可,時系列,投稿→査読者割り当て→希望トピックとの不一致　査読再割り当て,,,,,
6790,インセンティブ,会社組織の従業員におけるインセンティブ,,その他,テキスト.数値.時系列,事業部レベルのインセンティブ → 部課のインセンティブ → 職種におけるインセンティブ → 個人のインセンティブ,,,,,
6789,機会,不正行為を会社組織で行う要因である機会について,,その他,時系列,監査体制の不備が生じている→［1人管理者体制で作業］［ログが採られていない］［手書きの書類］［物理的アクセスが容易］→不正を行うことを思いつく,,,,,
6788,プレッシャー,会社組織における目標達成に向けた数値目標,,その他,時系列,収支の目標 →　コスト抑制、 販売チャネルの拡大 → 部課の達成目標 → 個人の行動目標 ,,,,,
6787,メールの内容,データ改ざんを示唆する、データ改ざんに及ぶ予兆のメール,,その他,時系列,目標の設定|必達 → 検査しない|上書き|前回の数値を使う|基準値を下げる → 不良率を下げる|利益率が上がる,,,,,
6706,日照量と株価の相関性の検証,日照量を日時、週次、月次で計測されたデータと該当時期の株価の推移と平年との比較を照らし合わせ、日照量の過多が大きく影響する市場を炙り出す。電力会社、ガス会社などのインフラ銘柄はもちろんのこと、ゲーム、メディア、小売、ヘルスケアなど一見相関が薄いと思われがちな業界での影響度を検証し、新たなインサイトを発見する。,,一般的に共有してよい,テキスト.数値.時系列,時間毎、あるいは日毎の日照量データと同期間の株価のTickデータ,,,,,
6705,気候変動から影響を受ける可能性の高い銘柄の検知,気候変動の定義を「平均降水量、平均気温から一定期間大きく逸脱した状況」とし、気候変動が起こった時期と同時期に株価が大きく変動した銘柄を洗い出す目的：過去の気候変動と相関性の高い銘柄をあらかじめ特定しておくことで、天気予報から将来の株価を予測する,,一般的に共有してよい,テキスト.数値.時系列,時間毎、あるいは日毎の気温データと同期間の株価のTickデータ,,,,,
6696,nbaにおける各地点でのシュート軌道と成功率の関係,nbaを観戦しているとシュート軌道が低い選手や高い選手など様々な選手が見受けられるが、どちらがより良いのかは例えばシュート地点などによっても変わると思う。そこで各シュート地点ごとにそのデータを集めることで関係性が見られるのではないかと考えた。,https://www.nba.com/stats/から該当データを摘出する,一般的に共有してよい,グラフ.数値.映像.時系列,シュート成功率（%）|1990年から2020年までの時系列|距離(m)|初速度|打点の角度|など,1990年代、2000年代、2010年代、２０２０年代にわけて各地点ごとに距離、および打点の高さ、角度、ボールの初速度などのデータとシュート成功率の重回帰分析を行う,各年代で距離が近いごとにシュート成功率が上がる年代が近年に近づくにつれて距離とシュート成功率の相関が上がる。というのも近年の３ポイントシュートがより評価される傾向があり各選手が練習に励んでいるからだ。,軌道を打点、角度、ボールの初速度から導き軌道とシュート成功率の関係を見たい。,個人的にNBAを観戦することがとても好きなのだが、NBAをデータ分析できたら面白いなと思い扱った。また、提出が遅れてしまい申し訳ありません。,
6693,豪雨災害時の住民の避難率の推移,豪雨時の避難率を時系列データとして集める。自治体ごとに推移を比較することで、どのような豪雨対策が有効か判断する指標になる。,自治体による計測,一般的に共有してよい,時系列,人々の状態変数（避難か自宅待機か）|豪雨の規模,自治体ごとに時系列データを可視化する。,シグモイド関数のような形に推移する。,避難率の推移と豪雨対策の程度の相関を調べれば、どのような豪雨対策が有効か検証できるかもしれない。,,自治体が取っている豪雨対策
6692,SNSでのデマの拡散に関するデータ,,ツイッターのスクレイピング,未定,時系列,デマを信じているアカウント数|デマを発信しているアカウント数|デマを信じている人に攻撃的なアカウント数|以上のアカウントの接触確率,,,,,
6691,国民幸福度データ,国民がどのくらいの幸福度であるかのデータ。,国民調査,範囲を限定して共有可,数値.時系列,幸福度、年齢、年収、友達の数、家庭環境、,,,,どのような要素に幸福が結びついているかを分析できる,
6690,日本の失業率データ,1991年から2020年の日本の失業率のデータ。,,一般的に共有してよい,時系列,年/失業率(%),,,,,
6688,産業・企業規模別１企業平均１日の所定労働時間,昭和59年-令和2年までの36年間の業種別企業の平均1日の所定労働時間の推移。業種別と企業規模別で集計されている。,一般統計,一般的に共有してよい,数値.時系列, 調査産業計 （1、000人以上、 100～999人、 300～999人、 100～299人、 30～ 99人)|鉱業|建設業|製造業|電気・ガス・熱供給・水道業|運輸・通信業|卸売・小売業，飲食店|金融・保険業|不動産業、 物品賃貸業|学術研究、専門・技術サービス業|宿泊業 、 飲食サービス業|生活関連サービス業、娯楽業|教育、学習支援業|医療、福祉|複合サービス事業|サービス業|所定労働時間,可視化して時系列的に労働時間の変化を分析,減少している,,,
6687,Top 20 ATP Tennis Players' Height from 2011 to 2020,Data about the height of ATP Top 20 ranked players in the years 2011 to 2020.,ATP Statistics、 Ultimate Tennis Statistics,一般的に共有してよい,数値.時系列,year|height|ranking,Find a relation between a tennis player's height and how well they play tennis.,The optimal height of a tennis player.,Relations between other body measurements such as weight.,,
6686,総世帯消費動向指数,世帯消費動向指数とは、世帯の消費支出の平均額の推移を示す指数である。毎月の家計調査の結果に、家計消費状況調査及び家計消費単身モニター調査の結果を合成した支出金額によって作成している。,家計調査とモニター調査,一般的に共有してよい,数値.時系列.表,月｜消費支出｜食料｜住居｜光熱・水道｜家具・家事用品｜被服及び履物｜保険医療｜交通・通信｜教育｜教養娯楽｜その他の消費支出,,,,,
6685,X大学の入学試験の点数,X大学の入学試験の点数,X大学実施の入学試験による,範囲を限定して共有可,数値.表,受験者|時間|教科,,,,,
6684,ある車製造会社の株価データ,日本の車製造会社の2010年～2020年の株価データ,インターネットによる検索収集,一般的に共有してよい,グラフ.数値.時系列,時間 | 株価 ,・時系列分析によって過去の株価をもとに、未来の株価の推移を予測する・この車の製造会社と関係ある工業製品製造会社との株価の因果性の検定,・過去の株価をもとに、株価が上昇する予測ができる・関係ある企業の株価との因果性を導ける,,,
6682,睡眠時間,睡眠時間,,一般的に共有してよい,時系列,from|until,睡眠分析,,,,
6681,Real GDP forecast,Real gross domestic product (実質国内総生産) の予報。データは各国の経済や世界経済の状況の分析し、モデルを用いたシミュレーションと専門家の意見を元に予報。,,一般的に共有してよい,表,GDP|時間,成長率の前年比など各国・世界経済の状況を考慮し、シミュレーションを走らせる。,2023年まで3ヶ月単位まで分割して予報。,専門家の意見,,
6680,金の貿易統計,金の2020年度の世界の貿易統計,各国統計による申請,一般的に共有してよい,時系列,Reporter(輸出国)|Partner(輸入国)|Trade Value (US$),どのような国同士の取引の関係があるかを分析する。,中国の世界経済における台頭,,,
6679,スマホのスクリーンタイム,,,条件により共有可（必要に応じて交渉）,グラフ.時系列,時刻 | 使用時間 | アプリ名,使用されるアプリ間の関連を分析する,,,,
6678,リコール情報,商品に何らかの欠陥、不具合、品質上の理由があり事業者が回収、改修、注意喚起等の是正措置（いわゆるリコールを実施しているという情報を消費者庁が一元管理し、消費者に提供している。,関係行政機関の公表情報、事業者からの任意の情報提供,一般的に共有してよい,テキスト.数値.時系列.画像,商品名|商品画像|連絡先|対応方法|対応開始日|対象の特定情報|参照情報|備考|管理番号,頻出の商品カテゴリやリコールとなった原因を、天候、材料、価格帯、消費者層、近日の出来事、経済動向、TV番組等のデータと組み合わせるトレンドや売れ行きのデータとの組み合わせ、その相関,リコールが起こりやすい状況とその対策、コスパが良く質の良い商品作り,隠れたトレンドの発掘,,
6677,あるサッカーチームのシーズン中の試合に関するデータ,とあるサッカーチームのシーズン中の練習試合、公式戦に関する様々なデータをまとめたもの,試合の録画による,未定,数値.映像.時系列.音声,勝敗｜試合の映像(音あり)｜ボール支配率｜パスの本数｜パス成功率｜シュート本数｜枠内シュート本数｜走行距離｜セットプレー数｜ファール数,サッカーの勝敗分析,試合で勝利を決定づける要因,,,
6676,Etherumのトランザクション手数料の推移データ,Ethereumのトランザクション手数料のブロックごとの推移をbaseFeePerGas、gasUsedRatio、rewardの項目に分けて記録したデータ。,Ethereum Blockchainへのクエリ,一般的に共有してよい,表,blockNumber | baseFeePerGas | gasUsedRatio | reward,EIP1559以前と以後の手数料に関する統計量の比較により、EIP1559による手数料やそのボラティリティへの影響を分析する。,ボラティリティへの影響は軽微である,優れた手数料決定アルゴリズムの開発に利用できるかもしれない。,,
6675,Passanger data of the bus route,The each passenger information about getting on and off in the bus route I use to get to school.  The data are collected for eliminating congestion in the bus route during specific time period.,Using information from prepaid transportation cards(ex. SUICA),条件により共有可（必要に応じて交渉）,表,time、 age、 sex、 bus stop name,Calculate population density from the time and bus stop name which the people get on and off. ,Rush hour of the bus route which the company should increase the number of bus.,It also might encourage the company to introduce price fluctuation system.,,
6674,自動車の貿易データ,年代ごとの任意の二国間の自動車貿易に関する輸出入、貿易価格のデータ,各国が提出した貿易データによる,一般的に共有してよい,数値.時系列,国|年代|輸出入の向き|貿易価格,自動車貿易は、その時々の社会情勢によって大きく左右される。ここでは、ある二国間で政治的緊張が生じている年の自動車貿易の価格は大きく落ち込むという仮説を時系列分析を用いて調べることを考える。,政治的緊張が生じている年の自動車貿易の価格は大きく落ち込むと考えられる。,今後の貿易額の推移の予測に役立つ可能性がある。,,
6673,発電方法別にみた発電量の推移,火力、原子力、水力、再生可能エネルギー（水力を除く）の発電量を年度別にまとめたもの,文献からの収集,一般的に共有してよい,グラフ.時系列,年度｜発電方法｜発電量,今後の発電方法についてやSDGsの達成に向け改善すべき点の議論,,,,
6672,航空輸送統計,ひと月あたりの航空機による旅客・貨物輸送に関するデータ,国土交通省による日本の航空会社からの集計,一般的に共有してよい,数値.時系列.表,|運航回数|運航キロメートル|運航時間|輸送人数|人キロ|座席キロ|座席利用率|,時系列分析,主にコロナによって航空業界は大打撃を受けているが、それが数字として表れていることを確かめるまた、景気の動向にも関係するかを確かめる,季節ごとの利用率などを調べることにより、より適切な航路設計ができるかもしれない,,コロナの感染者数に関するデータ
6671,電子マネーの利用状況,総務省統計局によって実施される家計消費状況調査の一部である。家計消費状況の調査はサービス消費やICT関連の調査をすることで個人の消費動向を明らかにすることを目的としている。電子マネー利用率は全国•地方•都市階級別に集計される。世帯内に電子マネー利用者はいるか、電子マネーの平均使用額はいくらか、電子マネーの利用額のうち公共交通機関に使用した金額はいくらかなどのデータが集計されている。,調査員による留置き調査法(オンライン利用も併用),一般的に共有してよい,数値.時系列,集計時期|集計世帯数|電子マネー利用率|電子マネー平均利用額,大都市になればなるほど公共交通機関等が発達しており、電子マネーの利用機会が多いので普及率は高い。大都市には実店舗などが多く足を運びやすいので、小都市などに比べるとインターネットでの買い物が少なく平均利用額は安くなるのではないか。以上を長期間かけてデータを観察することで分析する。,平均利用額と普及率の関係、地域と普及率の関係、地域と平均使用額の関係,電子マネー普及率から個人の消費動向や経済トレンドを分析することで政策立案やマーケティングに利用できるかどうかの分析,データひとつだけでも色々分析事項が考えられ非常に興味深かった。,年代別電子マネー利用率と利用金額
6670,東京メトロの各駅、各路線の乗降客数,東京メトロの各駅、各路線の乗降客数,国土数値情報ダウンロードによる,一般的に共有してよい,数値,路線名|駅名|乗降客数,混雑度の高い場所には投資が足りていない,より投資をするべき駅や路線がどこか,,,
6669,プログラミング言語のトレンド,プログラミング言語にはGo、 TypeScript、 Pythonなど様々な言語が存在しており、どの言語を選択して学習するかということはエンジニアにとって重要である。そして、どうせならトレンドに乗っていて、広く使用されている言語を選択したいものだ。そこで今回はGoogle Trendのデータをもとに、どのプログラミング言語がよく検索されていて、人気であるかということを調べてみる。また、今までのデータから、次はどの言語が人気になるかということも推測できればいいと思う。,Pythonのライブラリである、Pytrendsを用いる,一般的に共有してよい,時系列,時間（年、 月、 日）、 プログラミング言語、 GoogleTrendsでの人気度,,,,,
6668,12月31日のオミクロン株国内発生状況,空港検疫：92　都道府県発表：9　それ以外：36　計：137,文献からの収集,未定,数値,場所、感染者数,,,,,
