cid,datahead,dataurl,creator,contributor
1,   横浜市統計書　第15章　衛生及び環境       xlsx   ,/dataset/seisaku_15,統計情報課,統計情報課
2,   環境衛生関係施設一覧       ZIP   ,/dataset/iryo_kankyodata,生活衛生課,生活衛生課
3,   環境に関する市民意識調査       xlsx   CSV   ,/dataset/kankyo_shiminchousa,政策課,政策課
4,   日常生活圏域等別データ    各年3月末時点における圏域別の人口及び介護認定者数、各割合    CSV   ,/dataset/kenko_default20220620,地域包括ケア推進課,地域包括ケア推進課
5,   横浜市統計書　第10章　建物及び住宅       xlsx   ,/dataset/seisaku_10,統計情報課,統計情報課
6,   横浜市統計書　第17章　司法及び治安       xlsx   ,/dataset/seisaku_17,統計情報課,統計情報課
7,   令和５(2023)年　人口・世帯数       PDF   ,/dataset/seisaku_r5news,統計情報課,統計情報課
8,   令和５(2023)年　外国人の人口       xlsx   ,/dataset/seisaku_r5gaikokujin,統計情報課,統計情報課
9,   令和５(2023)年　町丁別人口（住民基本台帳による）       xlsx   ,/dataset/seisaku_r5cho,統計情報課,統計情報課
10,   横浜市統計書　第20章　選挙、議会及び市職員       xlsx   ,/dataset/seisaku_20,統計情報課,統計情報課
11,   人口動態（月次）－行政区       CSV   ZIP   ,/dataset/seisaku_jinko-dotai-tsuki,統計情報課,統計情報課
12,   月間の人口の動き       xlsx   ,/dataset/seisaku_tsuki,統計情報課,統計情報課
13,   月別火災発生件数       CSV   ,/dataset/seisaku_kasai,統計情報課,統計情報課
14,   横浜市統計書　第14章　社会福祉       xlsx   ,/dataset/seisaku_14,統計情報課,統計情報課
15,"   男女別人口及び世帯数－町丁    住民基本台帳に記載された世帯数・人口を町・丁（字にあたる丁）別に毎月末現在で集計したもの。推計人口とは一致しない。""町名""のうち""－""のレコードは、行政区の情報を表す。どの町にも計上されない人口や世帯が存在するため、行政区の数値と町の数値の合計が一致しない場合がある。    ZIP   ",/dataset/seisaku_toroku02,統計情報課,統計情報課
16,   月別平均気温と降水量       CSV   ,/dataset/seisaku_kion-kosui,統計情報課,統計情報課
17,   横浜市統計書　第１章　土地及び気象       xlsx   ,/dataset/seisaku_01,統計情報課,統計情報課
18,   外国人人口－行政区    住民基本台帳に基づく毎月末現在の外国人人口。町丁別及び年齢別の数値の掲載はない。    CSV   ,/dataset/seisaku_toroku04,統計情報課,統計情報課
19,   横浜市統計書　第９章　道路、運輸及び通信       xlsx   CSV   ,/dataset/seisaku_09,統計情報課,統計情報課
20,   毎月の人口の推移（推計人口による）       xlsx   ,/dataset/seisaku_suii,統計情報課,統計情報課
21,   横浜市統計書　第６章　商業       xlsx   ,/dataset/seisaku_06,統計情報課,統計情報課
22,   救急出場件数と搬送人員       CSV   ,/dataset/seisaku_kyukyu,統計情報課,統計情報課
23,   住民基本台帳人口       xlsx   ,/dataset/seisaku_juki,統計情報課,統計情報課
24,   推計人口・世帯数【最新】       PDF   ,/dataset/seisaku_saishin-news,統計情報課,統計情報課
25,   横浜市統計書　第２章　人口       xlsx   ,/dataset/seisaku_02,統計情報課,統計情報課
26,   男女別人口及び世帯数－行政区    国勢調査結果を基に、出生・死亡・転出入等を加減した推計人口であり、住民基本台帳の登録者数とは一致しません。    CSV   ,/dataset/seisaku_suikei01,統計情報課,統計情報課
27,   テイクアウト＆デリバリー横浜       CSV   ,/dataset/keizai_takeout,商業振興課,商業振興課
28,   広報よこはま瀬谷区版2023（令和５）年発行分       TXT   ,/dataset/seya_seya2023,瀬谷区,瀬谷区
29,   2023年（令和5年）広報よこはま緑区版       ZIP   ,/dataset/midori_2023,緑区,緑区
30,   横浜市内の病院・一般診療所・歯科診療所名簿    横浜市内の医療施設名簿（病院・一般診療所・歯科診療所）    CSV   ,/dataset/iryo_iryoumeibo,医療安全課,医療安全課
31,   令和５(2023)年　町丁別の年齢別人口（住民基本台帳による）       CSV   ,/dataset/seisaku_r5cho-nen,統計情報課,統計情報課
32,   広報よこはま南区版       TXT   ,/dataset/minami_koho-minami-latest,南区,南区
33,   【港北区】刊行物       TXT   ,/dataset/kohoku_hakkou,港北区,港北区
34,   ヨコハマ議会だより（オープンデータ）       TXT   CSV   ,/dataset/shikai_dayori,議会局,議会局
35,   2023年11月号       TXT   ,/dataset/kanazawa_202311,金沢区,金沢区
36,   2023（令和５）年分       PDF   ZIP   ,/dataset/tsuzuki_r5tzkoho,都筑区,都筑区
37,   最新号（広報よこはま都筑区版2023（令和５）年11月号）       PDF   ZIP   ,/dataset/tsuzuki_tzkohosaishingou,都筑区,都筑区
38,   広報よこはま青葉区版　令和5年（2023年）分       ZIP   ,/dataset/aoba_kohoaoba2023,青葉区,青葉区
39,   2023（令和5）年11月号       TXT   ,/dataset/izumi_koyoko202311,泉区,泉区
40,   横浜市統計書　第12章　物価及び家計       xlsx   ,/dataset/seisaku_12,統計情報課,統計情報課
41,   横浜市統計書　第16章　教育及び文化       xlsx   ,/dataset/seisaku_16,統計情報課,統計情報課
42,   横浜市統計書　第８章　貿易及び港湾       xlsx   ,/dataset/seisaku_08,統計情報課,統計情報課
43,   横浜市統計書　第13章　労働       xlsx   ,/dataset/seisaku_13,統計情報課,統計情報課
44,   横浜市統計書　第７章　金融及び保険       xlsx   ,/dataset/seisaku_07,統計情報課,統計情報課
45,   2023年９月号       TXT   ,/dataset/kanazawa_202309,金沢区,金沢区
46,   市税決算額調       PDF   CSV   xlsx   XLS   ,/dataset/zaisei_kessan-dl,徴収対策課,徴収対策課
47,   長期時系列データ（人口・世帯）       xlsx   ,/dataset/seisaku_choki,統計情報課,統計情報課
48,   令和５(2023)年　年齢別人口（住民基本台帳による）       xlsx   ,/dataset/seisaku_r5nen,統計情報課,統計情報課
49,   令和５(2023)年　世帯人員別世帯数（住民基本台帳による）       xlsx   ,/dataset/seisaku_r5setai,統計情報課,統計情報課
50,   横浜市統計書　第18章　市民経済計算及び産業連関表       xlsx   ,/dataset/seisaku_18,統計情報課,統計情報課
51,"   世帯人員別世帯数－町丁    住民基本台帳に基づく世帯数を町・丁（字にあたる丁）別世帯人員別に集計したもの。""町名""のうち""－""のレコードは、行政区の情報を表す。どの町にも計上されない人口や世帯が存在するため、行政区の数値と町の数値の合計が一致しない場合がある。    ZIP   ",/dataset/seisaku_toroku05,統計情報課,統計情報課
52,   横浜市統計書　第４章　農林業及び漁業       xlsx   ,/dataset/seisaku_04,統計情報課,統計情報課
53,"   年齢、男女別人口－町丁    住民基本台帳に基づく人口を町・丁（字にあたる丁）別年齢別に半期ごとに集計したもの。""町名""のうち""－""のレコードは、行政区の情報を表す。""年齢""のうち""100""は、「100歳以上」を意味する。どの町にも計上されない人口や世帯が存在するため、行政区の数値と町の数値の合計が一致しない場合がある。    ZIP   ",/dataset/seisaku_toroku03,統計情報課,統計情報課
54,   ワンストップ財政情報（アニュアルレポート）       xlsx   ,/dataset/zaisei_onestopzaisei,財政課,財政課
55,   はまふぅどナビ【最新号】    地産地消の情報誌、2018年７月【48号】～    docx   ,/dataset/kankyo_navi,農業振興課,農業振興課
56,   旭中央地区「四季めぐり号」       ZIP   ,/dataset/doro_asahi-bus,都市交通課,都市交通課
57,   横浜市中小企業融資のご案内    横浜市中小企業融資制度の融資件数と融資額の年度別実績    CSV   ,/dataset/keizai_yushi,金融課,金融課
58,   横浜市の財務書類       PDF   ZIP   xlsx   ,/dataset/zaisei_zaimusyorui,財政課,財政課
59,   2023月10月号       TXT   ,/dataset/kanazawa_202310,金沢区,金沢区
60,   2023（令和5）年10月号       TXT   ,/dataset/izumi_koyoko202310,泉区,泉区
61,   横浜市保有土地情報一覧    横浜市保有土地の情報について 資産名称、所在地、所管局名など ※令和４年度末時点の道路、河川、企業会計等以外の土地を掲載しています。    xlsx   PDF   ,/dataset/zaisei_hoyuutoti,ファシリティマネジメント推進課,ファシリティマネジメント推進課
62,   横浜市統計書　第５章　製造業及び工業       xlsx   ZIP   ,/dataset/seisaku_05,統計情報課,統計情報課
63,   令和５年度予算       PDF   xlsx   ZIP   ,/dataset/zaisei_r5,財政課,財政課
64,   観光入込客数       CSV   ,/dataset/seisaku_irikomikyakusu,統計情報課,統計情報課
65,   2023（令和5）年9月号       TXT   ,/dataset/izumi_koyoko202309,泉区,泉区
66,   21大都市都市計画道路進捗状況       PDF   ,/dataset/doro_01182009,企画課,企画課
67,   横浜市内の薬局、医薬品販売業者、高度管理医療機器等販売業・貸与業者、再生医療等製品販売業者 名簿       CSV   ,/dataset/iryo_yakumumeibo,医療安全課,医療安全課
68,   災害時給水所    市内の災害時給水所の名前、位置データなどを掲載    CSV   ,/dataset/suidou_oukyu-kyusui,総務課,総務課
